# 1station, 2Longitude, 3Latitude, 4NumberOfMeasurements, 5ResultantLength, 6FastDirection(EastOfNorth), 7DelayTime, 8StdOfDelayTime
       OAK, -118.78439,   34.36363,        874,     0.09,    -23.0,    0.222,    0.152
       OAT, -118.61442,   34.34361,         52,     0.27,      4.5,    0.148,    0.130
      OCCM, -115.87847,   32.64631,       1556,     0.68,      7.0,    0.108,    0.059
       OGC, -117.84400,   33.78816,        156,     0.44,     17.0,    0.108,    0.081
       OKV, -119.29874,   34.39697,         22,     0.25,      7.8,    0.060,    0.051
       OLI, -117.92372,   33.94539,       1456,     0.16,    -66.0,    0.136,    0.114
       OLP, -116.93019,   32.60771,         88,     0.20,    -60.0,    0.096,    0.064
       OSI, -118.72350,   34.61450,        382,     0.51,    -46.0,    0.100,    0.084
      OWL1, -117.85973,   36.38562,        742,     0.50,     17.5,    0.150,    0.083
      OYSB, -115.85566,   32.71881,       4778,     0.46,    -11.0,    0.109,    0.079
      PALA, -117.03182,   33.38905,         68,     0.09,    -21.2,    0.213,    0.117
       PAS, -118.17117,   34.14844,         68,     0.27,      4.5,    0.144,    0.234
      PASA, -118.17113,   34.14844,         18,     0.21,     -2.5,    0.127,    0.143
        PB, -121.27150,   35.70900,          8,     0.42,      4.0,    0.227,    0.102
       PDE, -118.58215,   34.44199,        522,     0.55,    -62.0,    0.132,    0.088
       PDR, -118.43702,   33.96273,       1282,     0.48,     -4.5,    0.130,    0.095
       PDU, -117.63808,   34.12070,        864,     0.61,      6.0,    0.085,    0.074
       PEC, -117.16135,   33.89198,       1560,     0.39,     26.5,    0.093,    0.070
       PER, -117.20529,   33.86164,       1572,     0.34,    -20.0,    0.150,    0.113
       PFO, -116.45940,   33.61170,       9572,     0.08,    -53.0,    0.053,    0.053
       PGA, -117.06350,   33.49140,          6,     0.20,     17.7,    0.073,    0.060
       PHL, -120.54556,   35.40773,         16,     0.71,      0.5,    0.027,    0.058
       PKD, -120.54160,   35.94517,        146,     0.56,    -15.0,    0.069,    0.081
       PLC, -116.51195,   33.82436,         32,     0.53,    -41.5,    0.176,    0.240
       PLM, -116.86265,   33.35361,       2952,     0.38,     35.0,    0.116,    0.086
       PLS, -117.60906,   33.79530,        586,     0.56,    -55.5,    0.156,    0.156
       PMD, -116.37769,   33.64785,        160,     0.50,     44.5,    0.074,    0.083
      PNTO, -115.76590,   32.66982,       6158,     0.62,    -16.0,    0.073,    0.062
      POB2, -116.92382,   33.68708,        986,     0.35,    -64.0,    0.120,    0.097
       PSD, -120.62167,   34.90217,        444,     0.08,    -83.5,    0.101,    0.076
       PSM, -120.59618,   36.06881,         40,     0.19,     24.6,    0.187,    0.144
       PSR, -117.80709,   34.09181,        310,     0.26,     -8.0,    0.112,    0.108
       PUT, -117.96919,   34.69115,          2,     1.00,    -14.5,    0.048,    0.000
       PYR, -118.74190,   34.56784,         14,     0.87,    -15.0,    0.049,    0.010
       QUG, -118.49837,   34.39558,        160,     0.18,    -53.3,    0.157,    0.118
       RCT, -119.24384,   36.30523,          6,     0.93,     -1.1,    0.173,    0.081
       RDM, -117.18415,   34.40002,      36724,     0.22,    -53.0,    0.108,    0.082
       RG2, -117.62900,   35.74883,       2324,     0.55,      2.0,    0.160,    0.093
       RGC, -117.66060,   35.84080,        810,     0.38,     23.0,    0.176,    0.100
      RHC2, -118.01333,   34.00095,         28,     0.11,    -85.5,    0.170,    0.129
       RIN, -118.47925,   34.28196,       1040,     0.23,    -40.0,    0.172,    0.151
      RINB, -118.47925,   34.28196,        344,     0.24,    -49.0,    0.133,    0.099
       RIO, -117.97956,   34.10473,        124,     0.44,      2.9,    0.136,    0.200
       RMM, -116.62438,   34.64384,        696,     0.10,     70.5,    0.146,    0.107
       RMX, -116.02880,   32.55350,          6,     0.97,     50.0,    0.081,    0.001
       RPV, -118.40412,   33.74346,        198,     0.21,    -10.7,    0.172,    0.157
       RRS, -117.36646,   33.88217,          2,     1.00,     88.5,    0.120,    0.000
       RRX, -116.99684,   34.87533,         62,     0.69,     28.5,    0.067,    0.028
       RSB, -117.32720,   33.97310,       1084,     0.47,    -68.0,    0.113,    0.096
       RSS, -117.32674,   33.97327,       3412,     0.35,     24.0,    0.129,    0.115
       RUS, -118.08078,   34.05075,        230,     0.39,     -3.0,    0.142,    0.108
       RVR, -117.37545,   33.99351,       4658,     0.47,     24.0,    0.089,    0.085
       RXH, -115.62257,   33.18313,       5764,     0.08,     76.0,    0.195,    0.156
      S08C, -118.17110,   37.49930,          4,     1.00,      4.5,    0.172,    0.018
       SAL, -115.98585,   33.28010,       1394,     0.47,     20.0,    0.051,    0.068
       SAN, -117.88578,   33.70432,         82,     0.75,     33.0,    0.091,    0.048
       SAO, -121.44722,   36.76403,         20,     0.15,    -56.6,    0.194,    0.223
